32-64 bit

 0:  00.32 
 1:  00.33 | 01.32 
 2:  00.34 | 01.33 | 02.32 
 3:  00.35 | 01.34 | 02.33 | 03.32 
 4:  00.36 | 01.35 | 02.34 | 03.33 | 04.32 
 5:  00.37 | 01.36 | 02.35 | 03.34 | 04.33 | 05.32 
 6:  00.38 | 01.37 | 02.36 | 03.35 | 04.34 | 05.33 | 06.32 
 7:  00.39 | 01.38 | 02.37 | 03.36 | 04.35 | 05.34 | 06.33 | 07.32 
 8:  00.40 | 01.39 | 02.38 | 03.37 | 04.36 | 05.35 | 06.34 | 07.33 | 08.32 
 9:  00.41 | 01.40 | 02.39 | 03.38 | 04.37 | 05.36 | 06.35 | 07.34 | 08.33 | 09.32 
10:  00.42 | 01.41 | 02.40 | 03.39 | 04.38 | 05.37 | 06.36 | 07.35 | 08.34 | 09.33 | 10.32 
11:  00.43 | 01.42 | 02.41 | 03.40 | 04.39 | 05.38 | 06.37 | 07.36 | 08.35 | 09.34 | 10.33 | 11.32 
12:  00.44 | 01.43 | 02.42 | 03.41 | 04.40 | 05.39 | 06.38 | 07.37 | 08.36 | 09.35 | 10.34 | 11.33 | 12.32 
13:  00.45 | 01.44 | 02.43 | 03.42 | 04.41 | 05.40 | 06.39 | 07.38 | 08.37 | 09.36 | 10.35 | 11.34 | 12.33 | 13.32 
14:  00.46 | 01.45 | 02.44 | 03.43 | 04.42 | 05.41 | 06.40 | 07.39 | 08.38 | 09.37 | 10.36 | 11.35 | 12.34 | 13.33 | 14.32 
15:  00.47 | 01.46 | 02.45 | 03.44 | 04.43 | 05.42 | 06.41 | 07.40 | 08.39 | 09.38 | 10.37 | 11.36 | 12.35 | 13.34 | 14.33 | 15.32 
16:  00.48 | 01.47 | 02.46 | 03.45 | 04.44 | 05.43 | 06.42 | 07.41 | 08.40 | 09.39 | 10.38 | 11.37 | 12.36 | 13.35 | 14.34 | 15.33 | 16.32 
17:  00.49 | 01.48 | 02.47 | 03.46 | 04.45 | 05.44 | 06.43 | 07.42 | 08.41 | 09.40 | 10.39 | 11.38 | 12.37 | 13.36 | 14.35 | 15.34 | 16.33 | 17.32 
18:  00.50 | 01.49 | 02.48 | 03.47 | 04.46 | 05.45 | 06.44 | 07.43 | 08.42 | 09.41 | 10.40 | 11.39 | 12.38 | 13.37 | 14.36 | 15.35 | 16.34 | 17.33 | 18.32 
19:  00.51 | 01.50 | 02.49 | 03.48 | 04.47 | 05.46 | 06.45 | 07.44 | 08.43 | 09.42 | 10.41 | 11.40 | 12.39 | 13.38 | 14.37 | 15.36 | 16.35 | 17.34 | 18.33 | 19.32 
20:  00.52 | 01.51 | 02.50 | 03.49 | 04.48 | 05.47 | 06.46 | 07.45 | 08.44 | 09.43 | 10.42 | 11.41 | 12.40 | 13.39 | 14.38 | 15.37 | 16.36 | 17.35 | 18.34 | 19.33 | 20.32 
21:  00.53 | 01.52 | 02.51 | 03.50 | 04.49 | 05.48 | 06.47 | 07.46 | 08.45 | 09.44 | 10.43 | 11.42 | 12.41 | 13.40 | 14.39 | 15.38 | 16.37 | 17.36 | 18.35 | 19.34 | 20.33 | 21.32 
22:  00.54 | 01.53 | 02.52 | 03.51 | 04.50 | 05.49 | 06.48 | 07.47 | 08.46 | 09.45 | 10.44 | 11.43 | 12.42 | 13.41 | 14.40 | 15.39 | 16.38 | 17.37 | 18.36 | 19.35 | 20.34 | 21.33 | 22.32 
23:  00.55 | 01.54 | 02.53 | 03.52 | 04.51 | 05.50 | 06.49 | 07.48 | 08.47 | 09.46 | 10.45 | 11.44 | 12.43 | 13.42 | 14.41 | 15.40 | 16.39 | 17.38 | 18.37 | 19.36 | 20.35 | 21.34 | 22.33 | 23.32 
24:  00.56 | 01.55 | 02.54 | 03.53 | 04.52 | 05.51 | 06.50 | 07.49 | 08.48 | 09.47 | 10.46 | 11.45 | 12.44 | 13.43 | 14.42 | 15.41 | 16.40 | 17.39 | 18.38 | 19.37 | 20.36 | 21.35 | 22.34 | 23.33 | 24.32 
25:  00.57 | 01.56 | 02.55 | 03.54 | 04.53 | 05.52 | 06.51 | 07.50 | 08.49 | 09.48 | 10.47 | 11.46 | 12.45 | 13.44 | 14.43 | 15.42 | 16.41 | 17.40 | 18.39 | 19.38 | 20.37 | 21.36 | 22.35 | 23.34 | 24.33 | 25.32 
26:  00.58 | 01.57 | 02.56 | 03.55 | 04.54 | 05.53 | 06.52 | 07.51 | 08.50 | 09.49 | 10.48 | 11.47 | 12.46 | 13.45 | 14.44 | 15.43 | 16.42 | 17.41 | 18.40 | 19.39 | 20.38 | 21.37 | 22.36 | 23.35 | 24.34 | 25.33 | 26.32 
27:  00.59 | 01.58 | 02.57 | 03.56 | 04.55 | 05.54 | 06.53 | 07.52 | 08.51 | 09.50 | 10.49 | 11.48 | 12.47 | 13.46 | 14.45 | 15.44 | 16.43 | 17.42 | 18.41 | 19.40 | 20.39 | 21.38 | 22.37 | 23.36 | 24.35 | 25.34 | 26.33 | 27.32 
28:  00.60 | 01.59 | 02.58 | 03.57 | 04.56 | 05.55 | 06.54 | 07.53 | 08.52 | 09.51 | 10.50 | 11.49 | 12.48 | 13.47 | 14.46 | 15.45 | 16.44 | 17.43 | 18.42 | 19.41 | 20.40 | 21.39 | 22.38 | 23.37 | 24.36 | 25.35 | 26.34 | 27.33 | 28.32 
29:  00.61 | 01.60 | 02.59 | 03.58 | 04.57 | 05.56 | 06.55 | 07.54 | 08.53 | 09.52 | 10.51 | 11.50 | 12.49 | 13.48 | 14.47 | 15.46 | 16.45 | 17.44 | 18.43 | 19.42 | 20.41 | 21.40 | 22.39 | 23.38 | 24.37 | 25.36 | 26.35 | 27.34 | 28.33 | 29.32 
30:  00.62 | 01.61 | 02.60 | 03.59 | 04.58 | 05.57 | 06.56 | 07.55 | 08.54 | 09.53 | 10.52 | 11.51 | 12.50 | 13.49 | 14.48 | 15.47 | 16.46 | 17.45 | 18.44 | 19.43 | 20.42 | 21.41 | 22.40 | 23.39 | 24.38 | 25.37 | 26.36 | 27.35 | 28.34 | 29.33 | 30.32 
31:  00.63 | 01.62 | 02.61 | 03.60 | 04.59 | 05.58 | 06.57 | 07.56 | 08.55 | 09.54 | 10.53 | 11.52 | 12.51 | 13.50 | 14.49 | 15.48 | 16.47 | 17.46 | 18.45 | 19.44 | 20.43 | 21.42 | 22.41 | 23.40 | 24.39 | 25.38 | 26.37 | 27.36 | 28.35 | 29.34 | 30.33 | 31.32 
32:  01.63 | 02.62 | 03.61 | 04.60 | 05.59 | 06.58 | 07.57 | 08.56 | 09.55 | 10.54 | 11.53 | 12.52 | 13.51 | 14.50 | 15.49 | 16.48 | 17.47 | 18.46 | 19.45 | 20.44 | 21.43 | 22.42 | 23.41 | 24.40 | 25.39 | 26.38 | 27.37 | 28.36 | 29.35 | 30.34 | 31.33 
33:  02.63 | 03.62 | 04.61 | 05.60 | 06.59 | 07.58 | 08.57 | 09.56 | 10.55 | 11.54 | 12.53 | 13.52 | 14.51 | 15.50 | 16.49 | 17.48 | 18.47 | 19.46 | 20.45 | 21.44 | 22.43 | 23.42 | 24.41 | 25.40 | 26.39 | 27.38 | 28.37 | 29.36 | 30.35 | 31.34 
34:  03.63 | 04.62 | 05.61 | 06.60 | 07.59 | 08.58 | 09.57 | 10.56 | 11.55 | 12.54 | 13.53 | 14.52 | 15.51 | 16.50 | 17.49 | 18.48 | 19.47 | 20.46 | 21.45 | 22.44 | 23.43 | 24.42 | 25.41 | 26.40 | 27.39 | 28.38 | 29.37 | 30.36 | 31.35 
35:  04.63 | 05.62 | 06.61 | 07.60 | 08.59 | 09.58 | 10.57 | 11.56 | 12.55 | 13.54 | 14.53 | 15.52 | 16.51 | 17.50 | 18.49 | 19.48 | 20.47 | 21.46 | 22.45 | 23.44 | 24.43 | 25.42 | 26.41 | 27.40 | 28.39 | 29.38 | 30.37 | 31.36 
36:  05.63 | 06.62 | 07.61 | 08.60 | 09.59 | 10.58 | 11.57 | 12.56 | 13.55 | 14.54 | 15.53 | 16.52 | 17.51 | 18.50 | 19.49 | 20.48 | 21.47 | 22.46 | 23.45 | 24.44 | 25.43 | 26.42 | 27.41 | 28.40 | 29.39 | 30.38 | 31.37 
37:  06.63 | 07.62 | 08.61 | 09.60 | 10.59 | 11.58 | 12.57 | 13.56 | 14.55 | 15.54 | 16.53 | 17.52 | 18.51 | 19.50 | 20.49 | 21.48 | 22.47 | 23.46 | 24.45 | 25.44 | 26.43 | 27.42 | 28.41 | 29.40 | 30.39 | 31.38 
38:  07.63 | 08.62 | 09.61 | 10.60 | 11.59 | 12.58 | 13.57 | 14.56 | 15.55 | 16.54 | 17.53 | 18.52 | 19.51 | 20.50 | 21.49 | 22.48 | 23.47 | 24.46 | 25.45 | 26.44 | 27.43 | 28.42 | 29.41 | 30.40 | 31.39 
39:  08.63 | 09.62 | 10.61 | 11.60 | 12.59 | 13.58 | 14.57 | 15.56 | 16.55 | 17.54 | 18.53 | 19.52 | 20.51 | 21.50 | 22.49 | 23.48 | 24.47 | 25.46 | 26.45 | 27.44 | 28.43 | 29.42 | 30.41 | 31.40 
40:  09.63 | 10.62 | 11.61 | 12.60 | 13.59 | 14.58 | 15.57 | 16.56 | 17.55 | 18.54 | 19.53 | 20.52 | 21.51 | 22.50 | 23.49 | 24.48 | 25.47 | 26.46 | 27.45 | 28.44 | 29.43 | 30.42 | 31.41 
41:  10.63 | 11.62 | 12.61 | 13.60 | 14.59 | 15.58 | 16.57 | 17.56 | 18.55 | 19.54 | 20.53 | 21.52 | 22.51 | 23.50 | 24.49 | 25.48 | 26.47 | 27.46 | 28.45 | 29.44 | 30.43 | 31.42 
